Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Custom1
ISI:000314660300016,"Johnson, Leif E.; Larsen, Michael & Perez, Maria-Thereza",Retinal Adaptation to Changing Glycemic Levels in a Rat Model of Type 2 Diabetes,{PLOS ONE},{8},{2},{FEB 8},,2013,,,,,,,,,"{Purpose: Glucose concentrations are elevated in retinal cells in    undiagnosed and in undertreated diabetes. Studies of diabetic patients    suggest that retinal function adapts, to some extent, to this increased    supply of glucose. The aim of the present study was to examine such    adaptation in a model of type 2 diabetes and assess how the retina    responds to the subsequent institution of glycemic control.    Methods: Electroretinography (ERG) was conducted on untreated Zucker    diabetic fatty (ZDF) rats and congenic controls from 8-22 weeks of age    and on ZDFs treated with daily insulin from 16-22 weeks of age. Retinal    sections from various ages were prepared and compared histologically and    by immunocytochemistry.    Principal Findings/Conclusions: Acute hyperglycemia did not have an    effect on control rats while chronic hyperglycemia in the ZDF was    associated with scotopic ERG amplitudes which were up to 20\% higher    than those of age-matched controls. This change followed the onset of    hyperglycemia with a delay of over one month, supporting that    habituation to hyperglycemia is a slow process. When glycemia was    lowered, an immediate decrease in ZDF photoreceptoral activity was    induced as seen by a reduction in a-wave amplitudes and maximum slopes    of about 30\%. A direct effect of insulin on the ERG was unlikely since    the expression of phosphorylated Akt kinase was not affected by    treatment. The electrophysiological differences between untreated ZDFs    and controls preceded an activation of Muller cells in the ZDFs    (up-regulation of glial fibrillary acidic protein), which was attenuated    by insulin treatment. There were otherwise no signs of cell death or    morphological alterations in any of the experimental groups. These data    show that under chronic hyperglycemia, the ZDF retina became abnormally    sensitive to variations in substrate supply. In diabetes, a similar    inability to cope with intensive glucose lowering could render the    retina susceptible to damage.}"
ISI:000314692800009,"Jensen, Richard A.; Sim, Xueling; Li, Xiaohui; Cotch, Mary Frances; Ikram, M. Kamran; Holliday, Elizabeth G.; Eiriksdottir, Gudny; Harris, Tamara B.; Jonasson, Fridbert; Klein, Barbara E. K.; Launer, Lenore J.; Smith, Albert Vernon; Boerwinkle, Eric; Cheung, Ning; Hewitt, Alex W.; Liew, Gerald; Mitchell, Paul; Wang, Jie Jin; Attia, John; Scott, Rodney; Glazer, Nicole L.; Lumley, Thomas; McKnight, Barbara; Psaty, Bruce M.; Taylor, Kent; Hofman, Albert; de Jong, Paulus T. V. M.; Rivadeneira, Fernando; Uitterlinden, Andre G.; Tay, Wan-Ting; Teo, Yik Ying; Seielstad, Mark; Liu, Jianjun; Cheng, Ching-Yu; Saw, Seang-Mei; Aung, Tin; Ganesh, Santhi K.; O'Donnell, Christopher J.; Nalls, Mike A.; Wiggins, Kerri L.; Kuo, Jane Z.; van Duijn, Cornelia M.; Gudnason, Vilmundur; Klein, Ronald; Siscovick, David S.; Rotter, Jerome I.; Tai, E. Shong; Vingerling, Johannes; Wong, Tien Y.; Team, Blue Mt Eye Study G. W. A. S. & Consortium, CKDGen",Genome-Wide Association Study of Retinopathy in Individuals without Diabetes,{PLOS ONE},{8},{2},{FEB 5},,2013,,,,,,,,,"{Background: Mild retinopathy (microaneurysms or dot-blot hemorrhages) is    observed in persons without diabetes or hypertension and may reflect    microvascular disease in other organs. We conducted a genome-wide    association study (GWAS) of mild retinopathy in persons without    diabetes.    Methods: A working group agreed on phenotype harmonization, covariate    selection and analytic plans for within-cohort GWAS. An inverse-variance    weighted fixed effects meta-analysis was performed with GWAS results    from six cohorts of 19,411 Caucasians. The primary analysis included    individuals without diabetes and secondary analyses were stratified by    hypertension status. We also singled out the results from single    nucleotide polymorphisms (SNPs) previously shown to be associated with    diabetes and hypertension, the two most common causes of retinopathy.    Results: No SNPs reached genome-wide significance in the primary    analysis or the secondary analysis of participants with hypertension.    SNP, rs12155400, in the histone deacetylase 9 gene (HDAC9) on chromosome    7, was associated with retinopathy in analysis of participants without    hypertension, -1.3 +/- 0.23 (beta +/- standard error), p=6.6x10(-9).    Evidence suggests this was a false positive finding. The minor allele    frequency was low (similar to 2\%), the quality of the imputation was    moderate (r(2) similar to 0.7), and no other common variants in the    HDAC9 gene were associated with the outcome. SNPs found to be associated    with diabetes and hypertension in other GWAS were not associated with    retinopathy in persons without diabetes or in subgroups with or without    hypertension.    Conclusions: This GWAS of retinopathy in individuals without diabetes    showed little evidence of genetic associations. Further studies are    needed to identify genes associated with these signs in order to help    unravel novel pathways and determinants of microvascular diseases.}"
ISI:000315044701085,"Thirugnanam, Mythili; Kumar, Praveen; Srivatsan, S. Vignesh & Nerlesh, C. R.","Improving the Prediction rate of Diabetes Diagnosis Using Fuzzy, Neural Network, Case Based (FNC) approach",,{38},,,{1709-1718},2012,,"{International Conference on Modelling Optimisation and Computing (ICMOC), Kumarakoil, INDIA, APR 10-11, 2012}",,{INTERNATIONAL CONFERENCE ON MODELLING OPTIMIZATION AND COMPUTING},,,{Procedia Engineering},"Rajesh, R; Ganesh, K & Koh, SCL","{In today's world the diabetes mellitus has become a major health problem    among the people of all ages. Most of the researchers have proposed    different systems to diagnose diabetes, in spite of which the accuracy    of the prediction rate of diabetes is not so significant. Most of the    techniques suggested were to detect diabetes associated with the parts    of the body such as eye, heart or legs. All the developed systems aimed    to identify diabetes by increasing the accuracy of the prediction rate    but fail to do so in most of the cases as there were some issues that    had not been discussed. The existing systems had number of drawbacks    like some were only concentrated for women and who were less than 21    years old {[}5], some gave greater accuracy if only one data set was    used {[}6], some needed dataset of very good quality {[}12], some needed    to standardize the ontology {[}10] and some even failed to show the    performance of the developed systems {[}7]. So there is an need to    develop a diabetes diagnosis system that improves the accuracy of the    prediction rate by considering all the factors into account. This paper    presents a novel approach for diagnosis of diabetes which has two stages    to predict the diabetes status. The initial prediction stage adopts two    computational intelligence and knowledge engineering techniques such as    fuzzy logic (F), neural network (N) and case based reasoning (C) as an    individual approach (FCN). The final prediction stage applies rule based    algorithm to the values obtained from the initial stage. The benefit of    applying these stages is that the accuracy of prediction rate will be    higher when compared to using only the initial prediction stage done by    most of the suggested systems for predicting the occurrence of diabetes    mellitus. (c) 2012 Published by Elsevier Ltd. Selection and/or    peer-review under responsibility of Noorul Islam Centre for Higher    Education}"
ISI:000315159200027,"Prakash, Roshini; Johnson, Maribeth; Fagan, Susan C. & Ergul, Adviye",Cerebral Neovascularization and Remodeling Patterns in Two Different Models of Type 2 Diabetes,{PLOS ONE},{8},{2},{FEB 18},,2013,,,,,,,,,"{We previously reported intense pial cerebral collateralization and    arteriogenesis in a mild and lean model of type 2 diabetes (T2D),    Goto-Kakizaki (GK) rats. Increased cerebral neovascularization differed    regionally and was associated with poor vessel wall maturity. Building    upon these findings, the goals of this study were to determine whether    a) glycemic control prevents this erratic cerebral neovascularization in    the GK model, and b) this pathological neovascularization pattern occurs    in Lepr(db/db) model, which is the most commonly used model of T2D for    studies involving cerebral complications of diabetes. Vascular volume,    surface area and structural parameters including microvessel/macrovessel    ratio, non-FITC (fluorescein) perfusing vessel abundance, vessel    tortuosity, and branch density were measured by 3D reconstruction of    FITC stained vasculature in GK rats or Lepr(db/db) mice. GK rats    exhibited an increase in all of these parameters, which were prevented    by glycemic control with metformin. In Lepr(db/db) mice, microvascular    density was increased but there was no change in nonFITC-perfusing    vessels. Increased PA branch density was associated with reduced branch    diameter. These results suggest that T2D leads to cerebral    neovascularization and remodeling but some structural characteristics of    newly formed vessels differ between these models of T2D. The prevention    of dysfunctional cerebral neovascularization by early glucose control    suggests that hyperglycemia is a mediator of this response.}"
ISI:000315159200031,"Icks, Andrea; Albers, Bernd; Haastert, Burkhard; Pechlivanis, Sonali; Pundt, Noreen; Slomiany, Uta; Erbel, Raimund; Joeckel, Karl-Heinz; Kruse, Johannes; Kulzer, Bernd; Nowotny, Bettina; Herder, Christian; Giani, Guido & Moebus, Susanne",Risk for High Depressive Symptoms in Diagnosed and Previously Undetected Diabetes: 5-Year Follow-Up Results of the Heinz Nixdorf Recall Study,{PLOS ONE},{8},{2},{FEB 18},,2013,,,,,,,,,"{Objective: The objective of this study was to determine the risk for the    development of high depressive symptoms in study participants with    diagnosed and previously undetected diabetes mellitus compared to those    without diabetes in a prospective population-based cohort study in    Germany.    Methods: We estimated the 5-year cumulative incidence of high depressive    symptoms in participants without high depressive symptoms at baseline (n    = 3,633, 51.4\% men, mean age (SD) 59.1 (7.6) years, 7.0\% diagnosed    diabetes, 5.3\% previously undetected diabetes) from the    population-based Heinz Nixdorf Recall study. Diabetes was assessed by    self-report, medication, and blood glucose. High depressive symptoms    were assessed using CES-D. We calculated odds ratios and their    corresponding 95\% confidence interval, using multiple logistic    regression analyses.    Result: Cumulative 5-year incidences (95\% CI) of high depressive    symptoms in participants with diagnosed, undetected, and without    diabetes were 7.1 (4.2-10.9), 4.1 (1.8-8.0), and 6.5 (5.6-7.4),    respectively. The age-sex-adjusted OR for developing high depressive    symptoms was 1.22 (0.74-2.03) in participants with diagnosed compared to    those without diabetes, and 1.00 (0.59-1.68) after adjustment for BMI,    physical activity, education, stroke, and myocardial infarction. The    age-sex adjusted OR for developing high depressive symptoms in    participants with previously undetected diabetes compared to those    without diabetes was 0.72; 0.35-1.48; and fully adjusted 0.62;    0.30-1.30.    Conclusion: We found no significant associations, maybe due to low    power. However, our results are in line with a recent meta-analysis    suggesting that risk of developing high depressive symptoms in patients    with diagnosed diabetes may be moderately higher than in those without    diabetes, and that comorbidity may explain in part this association. In    participants with previously undetected diabetes, this first    longitudinal study indicates that the risk is not increased or may even    be decreased. These results support the hypothesis that high depressive    symptoms develop due to diabetes-related burden and comorbidity and not    due to hyperglycemia or hyperinsulinaemia.}"
ISI:000315182800013,"Zhang, Yu-Xiang; Liu, Yan; Dong, Jing; Wang, You-Xin; Wang, Jing; Zhuang, Guo-Qing; Han, Shu-Jing; Guo, Qing-Qing; Luo, Yan-Xia; Zhang, Jie; Peng, Xiao-Xia; Zhang, Ling; Yan, Yu-Xiang; Yang, Xing-Hua; Wang, Hong; Han, Xu; Liu, Guang-Xu; Kang, You-Hou; Liu, You-Qin; Weng, Sheng-Feng; Zhang, Hong; Zhang, Xiao-Qiang; Jia, Ke-Bao; Wang, Li; Zhao, Lei; Xiao, Zhong-Xin; Zhang, Shu-Hua; Wu, Hui-Hui; Lai, Qing-Xuan; Qi, Na; Wang, Wei; Gaisano, Herbert; Liu, Fen & He, Yan",An Exploratory Study of the Association between KCNB1 rs1051295 and Type 2 Diabetes and Its Related Traits in Chinese Han Population,{PLOS ONE},{8},{2},{FEB 19},,2013,,,,,,,,,"{Since the KCNB1 encoding Kv2.1 channel accounts for the majority of Kv    currents modulating insulin secretion by pancreatic islet beta-cells, we    postulated that KCNB1 is a plausible candidate gene for genetic    variation contributing to the variable compensatory secretory function    of beta-cells in type-2 diabetes (T2D). We conducted two studies, a    case-control study and a cross-section study, to investigate the    association of common single-nucleotide polymorphisms (SNPs) in KCNB1    with T2D and its linking traits. In the case-control study, we first    examined the association of 20 tag SNPs of KCNB1 with T2D in a    population with 226 T2D patients and non-diabetic subjects (screening    study). We then identified the association in an enlarged population of    412 T2D patients and non-diabetic subjects (replication study). In the    cross-sectional study, we investigated the linkage between the candidate    SNP rs1051295 and T2D by comparing beta-cell function and insulin    sensitivity among rs1051295 genotypes in a general population of 1051    subjects at fasting and after glucose loading (oral glucose tolerance    tests, OGTT) in 84 fasting glucose impaired subjects, and several    T2D-related traits. We found that among the 19 available tag SNPs, only    the KCNB1 rs1051295 was associated with T2D (P = 0.027), with the    rs1051295 TT genotype associated with an increased risk of T2D compared    with genotypes CC (P = 0.009). At fasting, rs1051295 genotype TT was    associated with a 9.8\% reduction in insulin sensitivity compared to CC    (P = 0.008); along with increased plasma triglycerides (TG) levels    (TT/CC: P = 0.046) and increased waist/hip (W/H) ratio (TT/CC: P =    0.013; TT/TC: P = 0.002). OGTT confirmed that genotype TT exhibited    reduced insulin sensitivity by 16.3\% (P = 0.030) compared with genotype    TC+CC in a fasting glucose impaired population. The KCNB1 rs1051295    genotype TT in the Chinese Han population is associated with decreased    insulin sensitivity and increased plasma TG and W/H ratio, which    together contribute to an increased risk for T2D.}"
ISI:000315184200174,"Lv, Qin; Meng, Xian-Fang; He, Fang-Fang; Chen, Shan; Su, Hua; Xiong, Jing; Gao, Pan; Tian, Xiu-Juan; Liu, Jian-She; Zhu, Zhong-Hua; Huang, Kai & Zhang, Chun",High Serum Uric Acid and Increased Risk of Type 2 Diabetes: A Systemic Review and Meta-Analysis of Prospective Cohort Studies,{PLOS ONE},{8},{2},{FEB 20},,2013,,,,,,,,,"{Objective: Current evidence suggests high serum uric acid may increase    the risk of type 2 diabetes, but the association is still uncertain. The    aim of the study was to evaluate the association between serum uric acid    and future risk of type 2 diabetes by conducting a meta-analysis of    prospective cohort studies.    Design and Methods: We conducted a systematic literature search of the    PubMed database through April 2012. Prospective cohort studies were    included in meta-analysis that reported the multivariate adjusted    relative risks (RRs) and the corresponding 95\% confidence intervals    (CIs) for the association between serum uric acid and risk of type 2    diabetes. We used both fix-effects and random-effects models to    calculate the overall effect estimate. The heterogeneity across studies    was tested by both Q statistic and I-2 statistic. Begg's funnel plot and    Egger's regression test were used to assess the potential publication    bias.    Results: We retrieved 7 eligible articles derived from 8 prospective    cohort studies, involving a total of 32016 participants and 2930    incident type 2 diabetes. The combined RR of developing type 2 diabetes    for the highest category of serum uric acid level compared with the    lowest was 1.56(95\% CI, 1.39-1.76). Dose-response analysis showed the    risk of type 2 diabetes was increased by 6\% per 1 mg/dl increment in    serum uric acid level (RR 1.06, 95\% CI: 1.04-1.07). The result from    each subgroup showed a significant association between serum uric acid    and risk of type 2 diabetes. In sensitive analysis, the combined RR was    consistent every time omitting any one study. Little evidence of    heterogeneity and publication bias was observed.    Conclusions: Our meta-analysis of prospective cohort studies provided    strong evidence that high level of serum uric acid is independent of    other established risk factors, especially metabolic syndrome    components, for developing type 2 diabetes in middle-aged and older    people.}"
ISI:000315184200218,"Kirk-Ballard, Heather; Wang, Zhong Q.; Acharya, Priyanka; Zhang, Xian H.; Yu, Yongmei; Kilroy, Gail; Ribnicky, David; Cefalu, William T. & Floyd, Z. Elizabeth",An Extract of Artemisia dracunculus L. Inhibits Ubiquitin-Proteasome Activity and Preserves Skeletal Muscle Mass in a Murine Model of Diabetes,{PLOS ONE},{8},{2},{FEB 20},,2013,,,,,,,,,"{Impaired insulin signaling is a key feature of type 2 diabetes and is    associated with increased ubiquitin-proteasome-dependent protein    degradation in skeletal muscle. An extract of Artemisia dracunculus L.    (termed PMI5011) improves insulin action by increasing insulin signaling    in skeletal muscle. We sought to determine if the effect of PMI5011 on    insulin signaling extends to regulation of the ubiquitin-proteasome    system. C2C12 myotubes and the KK-A(y) murine model of type 2 diabetes    were used to evaluate the effect of PMI5011 on steady-state levels of    ubiquitylation, proteasome activity and expression of Atrogin-1 and    MuRF-1, muscle-specific ubiquitin ligases that are upregulated with    impaired insulin signaling. Our results show that PMI5011 inhibits    proteasome activity and steady-state ubiquitylation levels in vitro and    in vivo. The effect of PMI5011 is mediated by PI3K/Akt signaling and    correlates with decreased expression of Atrogin-1 and MuRF-1. Under in    vitro conditions of hormonal or fatty acid-induced insulin resistance,    PMI5011 improves insulin signaling and reduces Atrogin-1 and MuRF-1    protein levels. In the KK-A(y) murine model of type 2 diabetes, skeletal    muscle ubiquitylation and proteasome activity is inhibited and Atrogin-1    and MuRF-1 expression is decreased by PMI5011. PMI5011-mediated changes    in the ubiquitin-proteasome system in vivo correlate with increased    phosphorylation of Akt and FoxO3a and increased myofiber size. The    changes in Atrogin-1 and MuRF-1 expression, ubiquitin-proteasome    activity and myofiber size modulated by PMI5011 in the presence of    insulin resistance indicate the botanical extract PMI5011 may have    therapeutic potential in the preservation of muscle mass in type 2    diabetes.}"
ISI:000315524900205,"Lamb, Molly M.; Simpson, Melissa D.; Seifert, Jennifer; Scott, Fraser W.; Rewers, Marian & Norris, Jill M.","The Association between IgG4 Antibodies to Dietary Factors, Islet Autoimmunity and Type 1 Diabetes: The Diabetes Autoimmunity Study in the Young",{PLOS ONE},{8},{2},{FEB 28},,2013,,,,,,,,,"{Background: Infant dietary exposures have been linked to type 1 diabetes    (T1D) development. IgG4 antibody responses to food antigens are    associated with food intolerances but have not been explored    prospectively in the period preceding T1D.    Methods: Using a case-cohort design, IgG4 antibodies to    beta-lactoglobulin, gluten, and ovalbumin were measured in plasma    collected annually from 260 DAISY participants. Of those, 77 developed    islet autoimmunity (IA), defined as positive for either insulin, GAD65    or IA-2 autoantibodies on two consecutive visits, and 22 developed T1D.    Results: In mixed model analysis adjusting for HLA-DR status, T1D family    history, age and ethnicity, higher beta-lactoglobulin IgG4    concentrations were associated with shorter breastfeeding duration (beta    = -0.03, 95\% Confidence Interval: -0.05, -0.006) and earlier first    cow's milk exposure (beta = -0.04, 95\% Confidence Interval: -0.08,    0.00). Higher gluten IgG4 was associated with older age at gluten    introduction (beta = 0.06, 95\% Confidence Interval: 0.00, 0.13). In    proportional hazards analysis adjusting for HLA-DR status, T1D family    history and ethnicity, IgG4 against individual or multiple dietary    antigens throughout childhood were not associated with IA. In addition,    mean antigen-specific IgG4 concentrations in infancy (age,2 years) were    not associated with risk of IA nor progression to T1D. Higher ovalbumin    IgG4 at first IA positive visit was marginally associated with    progression to T1D (Hazard Ratio: 1.39, 95\% Confidence Interval: 1.00,    1.92).    Conclusion: We found no association between the IgG4 response to    beta-lactoglobulin, gluten, and the development of either IA or T1D. The    association between higher ovalbumin and progression to T1D in children    with IA should be explored in other populations.}"
ISI:000315544200006,"Galvanin, Federico; Barolo, Massimiliano & Bezzo, Fabrizio",On the use of continuous glucose monitoring systems to design optimal clinical tests for the identification of type 1 diabetes models,{COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE},{109},{2, SI},{FEB},2013,2013,,,,,,,,
ISI:000315563800111,"Juraschek, Stephen P.; Shantha, Ghanshyam Palamaner Subash; Chu, Audrey Y.; Miller, III, Edgar R.; Guallar, Eliseo; Hoogeveen, Ron C.; Ballantyne, Christie M.; Brancati, Frederick L.; Schmidt, Maria Ines; Pankow, James S. & Young, J. Hunter",Lactate and Risk of Incident Diabetes in a Case-Cohort of the Atherosclerosis Risk in Communities (ARIC) Study,{PLOS ONE},{8},{1},{JAN 30},,2013,,,,,,,,,"{Background: Oxidative capacity is decreased in type 2 diabetes. Whether    decreased oxidative capacity is a cause or consequence of diabetes is    unknown. Our purpose is to evaluate whether lactate, a marker of    oxidative capacity, is associated with incident diabetes.    Methods and Findings: We conducted a case-cohort study in the    Atherosclerosis Risk in Communities (ARIC) study at year 9 of follow-up.    We evaluated lactate's association with diabetes risk factors at    baseline and estimated the hazard ratio for incident diabetes by    quartiles of plasma lactate in 544 incident diabetic cases and 533    non-cases. Plasma lactate showed a graded positive relationship with    fasting glucose and insulin (P < 0.001). The relative hazard for    incident diabetes increased across lactate quartiles (P-trend <= 0.001).    Following adjustment for demographic factors, medical history, physical    activity, adiposity, and serum lipids, the hazard ratio in the highest    quartile was 2.05 times the hazard in the lowest quartile (95\% CI:    1.28, 3.28). After including fasting glucose and insulin the association    became non-significant.    Conclusions: Lactate, an indicator of oxidative capacity, predicts    incident diabetes independent of many other risk factors and is strongly    related to markers of insulin resistance. Future studies should evaluate    the temporal relationship between elevated lactate and impaired fasting    glucose and insulin resistance.}"
ISI:000315603700022,"Radonjic, Marijana; Wielinga, Peter Y.; Wopereis, Suzan; Kelder, Thomas; Goelela, Varshna S.; Verschuren, Lars; Toet, Karin; van Duyvenvoorde, Wim; van der Vat, Bianca van der Werff; Stroeve, Johanna H. M.; Cnubben, Nicole; Kooistra, Teake; van Ommen, Ben & Kleemann, Robert",Differential Effects of Drug Interventions and Dietary Lifestyle in Developing Type 2 Diabetes and Complications: A Systems Biology Analysis in LDLr-/- Mice,{PLOS ONE},{8},{2},{FEB 15},,2013,,,,,,,,,"{Excess caloric intake leads to metabolic overload and is associated with    development of type 2 diabetes (T2DM). Current disease management    concentrates on risk factors of the disease such as blood glucose,    however with limited success. We hypothesize that normalizing blood    glucose levels by itself is insufficient to reduce the development of    T2DM and complications, and that removal of the metabolic overload with    dietary interventions may be more efficacious. We explored the efficacy    and systems effects of pharmaceutical interventions versus dietary    lifestyle intervention (DLI) in developing T2DM and complications. To    mimic the situation in humans, high fat diet (HFD)-fed LDLr-/- mice with    already established disease phenotype were treated with ten different    drugs mixed into HFD or subjected to DLI (switch to low-fat chow), for 7    weeks. Interventions were compared to untreated reference mice kept on    HFD or chow only. Although most of the drugs improved HFD-induced    hyperglycemia, drugs only partially affected other risk factors and also    had limited effect on disease progression towards microalbuminuria,    hepatosteatosis and atherosclerosis. By contrast, DLI normalized T2DM    risk factors, fully reversed hepatosteatosis and microalbuminuria, and    tended to attenuate atherogenesis. The comprehensive beneficial effect    of DLI was reflected by normalized metabolite profiles in plasma and    liver. Analysis of disease pathways in liver confirmed reversion of the    metabolic distortions with DLI. This study demonstrates that the    pathogenesis of T2DM towards complications is reversible with DLI and    highlights the differential effects of current pharmacotherapies and    their limitation to resolve the disease.}"
ISI:000315634900054,"Alkerwi, Ala'a; Pagny, Sybil; Lair, Marie-Lise; Delagardelle, Charles & Beissel, Jean","Level of Unawareness and Management of Diabetes, Hypertension, and Dyslipidemia among Adults in Luxembourg: Findings from ORISCAV-LUX Study",{PLOS ONE},{8},{3},{MAR 4},,2013,,,,,,,,,"{Background: In the absence of evidence-based information, assessment of    population awareness and management of diabetes, hypertension and    dyslipidemia (treatable and preventable cardiovascular risk factors) are    important to halt coronary and cerebrovascular diseases and to improve    public health.    Methods: The analysis was based on a nationally representative sample of    1432 adult subjects, recruited for the ORISCAV-LUX survey (2007-2008).    Descriptive and multivariable logistic regression analyses were    performed. The 10-year Framingham risk score was calculated for each    participant who classified at low, intermediate and high risk.    Results: Among the diagnosed cases, 32\%, 60\%, and 85\% were    respectively unaware of their diabetes, hypertension and dyslipidemia.    Increasing age and BMI were the strongest protective factors against    unawareness of hypertension and dyslipidemia. Having a family history    decreased the risk of unawareness of hypertension (OR = 0.57; 95\% CI    0.36, 0.92; P = 0.021), whereas, not having a family doctor increased    double-fold the odd of being unaware of hypertension (P = 0.048). Poor    health perception reduced significantly the risk of unawareness of    dyslipidemia (OR = 0.27; 95\% CI 0.11, 0.68). Concerning the management,    diabetes was markedly better treated than hypertension and dyslipidemia.    Among diabetic subjects (constituting 4\% of the population), 3\% were    treated vs. 1\% not treated. In contrast, 22\% of the hypertensive    participants (35\% of the population) were not treated vs. 13\% treated.    Concerning dyslipidemia, only 9\% of those with lipid disorder (70\% of    the population) were under medication vs. 61\% not treated. For the    treated cases of these pathologies, almost only one-third was under    control. Framingham risk of developing CHD within 10 years was moderate    to high among 62\%, 27\%, and 17\% of the unaware/untreated diabetic,    hypertensive, and dyslipidemic participants, respectively.    Conclusion: The considerable lack of awareness and insufficient    management underscore the urgent need for intensive efforts to reduce    the gap in prevention strategies, and control of cases according to    explicit clinical guidelines.}"
ISI:000315965100001,"Du, Mengmeng; Prescott, Jennifer; Cornelis, Marilyn C.; Hankinson, Susan E.; Giovannucci, Edward; Kraft, Peter & De Vivo, Immaculata",Genetic Predisposition to Higher Body Mass Index or Type 2 Diabetes and Leukocyte Telomere Length in the Nurses' Health Study,{PLOS ONE},{8},{2},{FEB 12},,2013,,,,,,,,,"{Background: Although cross-sectional studies have linked higher body    mass index (BMI) and type 2 diabetes (T2D) to shortened telomeres,    whether these metabolic conditions play a causal role in telomere    biology is unknown. We therefore examined whether genetic predisposition    to higher BMI or T2D was associated with shortened leukocyte telomere    length (LTL).    Methodology: We conducted an analysis of 3,968 women of European    ancestry aged 43-70 years from the Nurses' Health Study, who were    selected as cases or controls in genome-wide association studies and    studies of telomeres and disease. Pre-diagnostic relative telomere    length in peripheral blood leukocytes, collected in 1989-1990, was    measured by quantitative PCR. We combined information from multiple risk    variants by calculating genetic risk scores based on 32 polymorphisms    near 32 loci for BMI, and 36 polymorphisms near 35 loci for T2D.    Findings: After adjustment for age and case-control status, there was no    association between the BMI genetic risk score and LTL (beta per    standard deviation increase: -0.01; SE: 0.02; P = 0.52). Similarly, the    T2D genetic score was not associated with LTL (b per standard deviation    increase: -0.006; SE: 0.02; P = 0.69).    Conclusions: In this population of middle-aged and older women of    European ancestry, those genetically predisposed to higher BMI or T2D    did not possess shortened telomeres. Although we cannot exclude weak or    modest effects, our findings do not support a causal relation of strong    magnitude between these metabolic conditions and telomere dynamics.}"
ISI:000316532100015,"Padilla-Medina, Jose A.; Prado-Olivarez, Juan; Amador-Licona, Norma; Cardona-Torres, Luz M.; Galicia-Resendiz, Delia & Diaz-Carmona, Javier",Study on simple reaction and choice times in patients with type I diabetes,{COMPUTERS IN BIOLOGY AND MEDICINE},{43},{4},{MAY 1},{368-376},2013,,,,,,,,,"{A study on simple reaction time (SRT) and choice reaction time in    patients having diabetes is described in this paper. The study was    applied to fourteen patients with type I diabetes, as well as to    fourteen non-diabetic persons. The research is based on two visual    signal perception experiments, both implemented on a computer based    environment. The SRT experiment consisted on measuring participants'    reaction times to a light change event in a simulated traffic light    scenario. The choice reaction time was studied through the performance    indexes (d') achieved by participants in a two alternative forced    experiment where a known visual signal is identified from two noisy    images. According to the obtained results, the diabetic patients' SRTs    were an average of 24\% longer than the reaction time of non-diabetic    persons, in the same way a significant average difference of 41\% was    obtained in the efficient index d' too. A positive correlation of 0.6594    between the time periods since diabetes has been diagnosed and the    average SRTs of diabetic patients was obtained, also significant    correlation differences between age of all experiments participants and    resulting variables, SRTs and d', were observed; for instance the    correlation factor between participants' ages and their average SRTs was    0.8529 for diabetic patients, meanwhile a value of -0.2905 was obtained    for non-diabetic persons. The evidence suggests that the time period    since diabetes has been diagnosed notably affects motor and sensorial    systems maturity, and consequently conduction speed of sural and    peroneal nerves. (c) 2013 Elsevier Ltd. All rights reserved.}"
ISI:000316638200010,"Periyasamy, R.; Anand, S. & Ammini, A. C.",Prevalence of standing plantar pressure distribution variation in north Asian Indian patients with diabetes mellitus: A study to understand ulcer formation,{PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE},{227},{H2},,{181-189},2013,,,,,,,,,"{Diabetes Mellitus is a disorder of metabolism. Foot problems are common    in diabetes and altered plantar pressures distribution may lead to    ulceration in people with Diabetes Mellitus. Therefore the aim of this    study was to investigate standing plantar pressure distribution    variations in north Asian Indian diabetes mellitus subjects and its    association with duration of diabetes. Thirty three subjects with age    range from 40 to 75 years are recruited from AIIMS Endocrinology \&    metabolism lab Delhi, India and divided into three groups: 11 control    subjects (non-diabetic), 11 diabetic subjects without neuropathy (DNN)    and 11 diabetic subjects with neuropathy (DN). Neuropathy status was    assessed by measuring loss of protective sensation to 10gm Semen's    Weinstein monofilament. Plantar pressure distributions parameter-Power    ratio (PR) was measured during barefoot standing using portable    PedoPowerGraph and results are analyzed using one way analysis of    variance to detect significant difference between the groups. We found    significant (p < 0.05; p < 0.01) difference in PR value between DN and    CG groups in fore foot and hind foot but no significant (p > 0.05)    difference in PR value was found between DNN and CG groups in the foot.    As compared to DNN, DN group have maximum PR variations in the fore    foot. Plantar pressure distribution parameter-PR was higher with longer    duration of diabetes among type 2 diabetes subjects. In this study we    conclude that plantar pressure distribution parameter-PR was able to    distinguish the DN groups from the CG group in hind and fore foot during    standing. Increased forefoot PR value is prevalent in the diabetic    neuropathic subjects and may be responsible for the occurrence of foot    sole ulcers but additional prospective studies are needed. In the future    we will investigate the plantar pressure distribution parameter-PR    variations in diabetes with obese and osteoarthritis subject.}"
